Título,Letra
Green Light," 
Give it to mama
Give it, give it
Give it to mama, mama
Give it
Give it to mama, mama
For some strange reason
You're done pleasin' me like it's okay
Like a perm that's been left too long
(It's starts to burn)
The result is it just won't take
(I can see)
Now, it's all coming so clear to me now
(I can see)
Misinterpreted all my naiveness
Was just thinking if I had no you than I can't do
My stock just went up over two million
So if you want to (uh, uh, huh, uh, uh)
You got the green light (uh, uh, huh, uh, uh)
So if you want to (uh, uh, huh, uh, uh)
You got the green light (uh, uh, huh, uh, uh)
So if you want to (uh, uh, huh, uh, uh)
You got the green light (uh, uh, huh, uh, uh)
So if you want to (uh, uh, huh, uh, uh)
You got the green light (uh, uh, huh, uh, uh)
(Give it to mama)
Go, go, go, go, ooh
Go, go, go, go, ooh
Go, go, go, go, ooh
Go, go
Red light! Green light!
Some see me, say I should be trophied
'Cause it gets no stronger
Ladies, y'all know (yeah, girl, ya'll know)
This pimp *ish gets no older
Is that a threat? (what's another threat?)
Yep! (that's another threat)
I'm immune, you can get no colder
You got the green light, you the king, right?
You holdin' up traffic, green means go!
Go, go, go, go, ooh
Go, go, go, go, ooh
Go, go, go, go, ooh
Go, go
Red light! Green light!
(I said you're holdin' up traffic, green means go!)
So if you want to (uh, uh, huh, uh, uh)
You got the green light (uh, uh, huh, uh, uh)
So if you want to (uh, uh, huh, uh, uh)
You got the green light (uh, uh, huh, uh, uh)
So if you want to (uh, uh, huh, uh, uh)
You got the green light (uh, uh, huh, uh, uh)
So if you want to (uh, uh, huh, uh, uh)
You got the green light (uh, uh, huh, uh, uh)
(Give it to mama)
(Go, go, go, go, ooh)
Ain't no problem, you can go
I will find somebody else
(Go, go, go, go, ooh)
It's alright, I'll move along
You got the green light so you can go
(Go, go, go, go, ooh)
Go, go
Red light! Green light
I gave all I could give
My love, my heart
Now we're facing the end
From what you did from the start, my love
You're holdin' up traffic, green means go!
So if you want to (uh, uh, huh, uh, uh)
You got the green light (uh, uh, huh, uh, uh)
So if you want to (uh, uh, huh, uh, uh)
You got the green light (uh, uh, huh, uh, uh)
So if you want to (uh, uh, huh, uh, uh)
You got the green light (uh, uh, huh, uh, uh)
So if you want to (uh, uh, huh, uh, uh)
You got the green light (uh, uh, huh, uh, uh)
(Give it to mama)
(Go, go, go, go, ooh)
Ain't no problem, you can go
I will find somebody else
(Go, go, go, go, ooh)
It's alright, I'll move along
You got the green light so you can go
(Go, go, go, go, ooh)
Go, go
Red light! Green light
 "
Grown Woman," 
I remember being young, tough, brave
I knew what I needed
I was spending all my nights and days laid back day dreaming
Look at me, I'm a big girl now, said I'm gon' do something
Told the world I would paint this town
Now betcha I run this
'Cause I put it down, like that, d-down like that
And I'm making all these racks, a-all these racks
And I'm moving round, like that, r-round like that
When I do it, I don't look back, d-don't look back
I'm a grown woman
I can do whatever I want
I'm a grown woman
I can do whatever I want
I'm a grown woman
I can do whatever I want
They love the way I walk
'Cause I walk with a vengeance
And they listen to me when I talk, 'cause I ain't pretending
It took a while, now I understand just where I'm goin'
I know the world and I know who I am, it's 'bout time I show it
I'm a grown woman
I can do whatever I want
I'm a grown woman
I can do whatever I want
I can be bad if I want
I can say what I want
I can live fast if I want
I can go slow all night long
I'm a grown woman
I can do whatever I want (whatever it is)
I'm a grown woman, and I know that I got it
I'm a grown woman, ain't got no room in my pockets
I'm a grown woman, look down, got you so excited
I really want to know if you got it like that
'Cause I got a cute face and my booty so fat
Go girl, she got that bomb, that bomb
That girl can get whatever she wants
That girl, she got that tight, that tight
Them boys, will do whatever she likes
(I'm a grown woman)
(I'm a grown)
I'm a grown woman
I can do whatever I want (I can do whatever I want)
I'm a grown woman
I can do whatever I want
I'm a grown woman
I can do whatever I want
I'm a grown woman
I can do whatever I want (ever I want)
I'm a grown woman
I can do whatever I want (ever I want)
I'm a grown woman
I can do whatever I want (ever I want)
I'm a grown woman
I can do whatever I want (ever I want)
I'm a grown woman
I can do whatever I want (ever I want)
I'm a grown woman
I can do whatever I want (ever I want)
 "
Halo," 
Remember those walls I built?
Well, baby, they're tumbling down
And they didn't even put up a fight
They didn't even make a sound
I found a way to let you in
But I never really had a doubt
Standing in the light of your halo, oh
I got my angel now
It's like I've been awakened
Every rule I had you breaking
It's the risk that I'm taking
I ain't never gonna shut you out
Everywhere I'm looking now
I'm surrounded by your embrace
Baby, I can see your halo
You know you're my saving grace
You're everything I need and more
It's written all over your face
Baby, I can feel your halo
Pray it won't fade away
I can feel your halo (halo), halo
I can see your halo (halo), halo
I can feel your halo (halo), halo
I can see your halo (halo), halo, oh
Hit me like a ray of Sun
Burning through my darkest night
You're the only one that I want
Think I'm addicted to your light
I swore I'd never fall again
But this don't even feel like falling
Gravity can't begin
To pull me back to the ground again
It's like I've been awakened
Every rule I had you breaking
The risk that I'm taking
I'm never gonna shut you out
Everywhere I'm looking now
I'm surrounded by your embrace
Baby, I can see your halo
You know you're my saving grace
You're everything I need and more
It's written all over your face
Baby, I can feel your halo
Pray it won't fade away
I can feel your halo (halo), halo
I can see your halo (halo), halo
I can feel your halo (halo), halo
I can see your halo (halo), halo, oh
Halo, oh
Halo, oh
Oh, oh, oh
Everywhere I'm looking now
I'm surrounded by your embrace
Baby, I can see your halo
You know you're my saving grace
You're everything I need and more
It's written all over your face
Baby, I can feel your halo
Pray it won't fade away
I can feel your halo (halo), halo
I can see your halo (halo), halo
I can feel your halo (halo), halo
I can see your halo (halo), halo, oh
 "
Halo  Just a Little Bit Of Your Heart," 
I don't ever ask you where you've been
And I don't feel the need to
Know who you're with
I can't even think straight but I can tell
You were just with her
And I'll still be a fool
It's like I've been awakened
Every rule I had you breaking
It's the risk that I'm taking
I ain't never gonna shut you out
Just a little bit of your heart
Just a little bit of your heart
Just a little bit of your heart is all I want
Just a little bit of your heart
Just a little bit of your heart
Just a little bit is all I'm asking for
I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo, halo
I don't ever tell you how I really feel
You're the only one that I want
Think I'm addicted to your light
And nothing's evert easy
That's what they say
I know I'm not your only
But I'll still be a fool
It's like I've been awakened (cause I'm a fool for you)
Every rule I had you breaking
It's the risk that I'm taking
I ain't never gonna shut you out
Just a little bit of your heart
Just a little bit of your heart
Just a little bit of your heart is all I want
Just a little bit of your heart
Just a little bit of your heart
Just a little bit is all I'm asking for
I can feel your halo, halo, halo
I can see your halo, halo, halo (just a little bit)
I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo, halo
I know I'm not, you're only
But at least I'm one (halo)
I hear a little love is better than none (halo ooh)
Just a little bit of your heart
Just a little bit of your heart
Just a little bit of your heart is all I want
Just a little bit of your heart
Just a little bit of your heart
Just a little bit is all I'm asking for
Just a little bit of your heart
Just a little bit of your heart
Just a little bit of your heart is all I want
Just a little bit of your heart
Just a little bit of your heart
Just a little bit is all I'm asking for
I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo, halo
 "
Halo (Live I Am... Yours)," 
Remember those walls I built
Well, baby they're tumbling down
And they didn't even put up a fight
They didn't even make up a sound
I found a way to let you in
But I never really had a doubt
Standing in the light of your halo
I got my angel now
It's like I've been awakened
Every rule I had you breaking
It's the risk that I'm taking
I ain't never gonna shut you out
Everywhere I'm looking now
I'm surrounded by your embrace
Baby I can see your halo
You know you're my saving grace
You're everything I need and more
It's written all over your face
Baby I can feel your halo
Pray it won't fade away(10x)
Remember those walls I built
Well, baby they're tumbling down
And they didn't even put up a fight
They didn't even make up a sound
I swore I'd never fall again
But this don't even feel like falling
Gravity can't forget
To pull me back to the ground again
It's like I've been awakened
Every rule I had you breaking
It's the risk that I'm taking
I ain't never gonna shut you out
Everywhere I'm looking now
I'm surrounded by your embrace
Baby I can see your halo
I Pray it won't fade away
Do your halo halo halo
I can see your halo halo halo
Do your halo halo halo
I can see your halo halo halo
Halooooooooooohhhhhhhhh
Haloooooooooohhhhhhhhhhhh
oooooooooooohhhhhhhh
oooooooooohhhhhhhhhhhhhhhhhh
Everywhere I'm looking now
(Everywhere I'm looking now)
I'm surrounded by your embrace
(I'm surrounded by your embrace)
Baby I can see your halo
You know you're my saving grace
You're everything I need and more
(You're everything I need and more)
(It's written all over your face)
Baby I can feel your halo
Pray it won't fade away(8x)
Haloooooooooooooohhhhhhhhh
 "
Haunted," 
The winner is
Beyonce Knowles female pop vocalist!
I would like to thank the judges for picking me
My parents who I love
I love you, Houston
And I've been drifting off on knowledge
Cat-calls on cat-walks, man these women getting solemn
I could sing a song for a Solomon or Salamander
We took a flight at midnight and now my mind can't help but wander: How come?
Spoon-fed pluralized eyes to find the beaches in the forest
When I'm looking off the edge, I preach my gut it can't help but ignore it
I'm climbing up the walls cause all the shit I hear is boring
All the shit I do is boring, all these record labels boring
I don't trust these record labels, I'm touring
All these people on the planet
Working 9 to 5, just to stay alive
The 9 to 5, just to stay alive
The 9 to 5, just to stay alive
The 9 to 5, just to stay alive
The 9 to 5, just to stay alive
The 9 to 5, just to stay alive
The 9 to 5, just to stay alive
All the people on the planet
Working 9 to 5 just to stay alive
How come?
What goes up, ghost around
Ghost around
What goes up, ghost around
Ghost around
Ah-round, ah-round, ah-round, ah-round
Ah-round, ah-round, ah-round, ah-round
Ah-round, ah-round, ah-round, ah-round
Ah-round, ah-round, ah-round, ah-round
Ah-round, ah-round, ah-round, ah-round
Ah-round, ah-round, ah-round, ah-round
Ah-round, ah-round, ah-round, ah-round
Soul not for sale
Probably won't make no money off this, oh well
Reap what you sow
Perfection is so
It's what you do
It's what you see
I know if I'm haunting you
You must be haunting me
It's where we go
It's where we'll be
I know if I'm on to you, I'm on to you
On to you, you must be on to me
My haunted lungs
Ghost in the sheets
I know if I'm haunting you
You must be haunting me
My wicked tongue
Where will it be?
I know if I'm onto you
I'm on to you
On to you, I'm on to you
On to you, you must be on to me
You want me?
I walk down the hallway
You're lucky
The bedroom's my runway
Slap me!
I'm pinned to the doorway
Kiss, bite, foreplay
My haunted lungs
Ghost in the sheets
I know if I'm haunting you
You must be haunting me
My wicked tongue
Where will it be
I know if I'm onto you
You must be onto me
It's what we see
I know if I'm haunting you
You must be haunting me
It's where we go
It's where we'll be
I know if I'm onto you, I'm onto you
Onto you, I'm onto you
Onto you, you must be onto me
You must be onto me (on to you, I'm on to you)
You must be onto me (on to you, I'm on to you)
You must be onto me (on to you, I'm on to you)
You must be onto me (on to you, I'm on to you)
Me (on to you, I'm on to you)
Me (on to you, I'm on to you)
Me (on to you, I'm on to you)
Me (on to you, I'm on to you)
Me (on to you, I'm on to you)
 "
Haunted (Michael Diamond Remix)," 
And I've been drifting off on knowledge
Cat-calls on cat-walks, man these women getting solemn
I could sing a song for a Solomon or Salamander
We took a flight at midnight and now my mind
can't help but wander: how come?
Spoon-fed pluralized eyes to find the beaches in the forest
When I'm looking off the edge, I preach my gut it can't help but ignore it
I'm climbing up the walls cause all the shit I hear is boring
All the shit I do is boring, all these record labels boring
I don't trust these record labels, I'm touring
All these people on the planet
Working 9 to 5, just to stay alive
The 9 to 5, just to stay alive
The 9 to 5, just to stay alive
The 9 to 5, just to stay alive
The 9 to 5, just to stay alive
The 9 to 5, just to stay alive
The 9 to 5, just to stay alive
All the people on the planet
Working 9 to 5 just to stay alive
How come?
What goes up, goes around
Goes around around around around
What goes up, goes around
Goes around around around around
Ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und
Ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und
Ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und
Ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und
Ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und
Ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und
Ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und
Soul not for sale
Probably won't make no money off this, oh well
Reap what you sow
Perfection is so
It's what you do
It's what you see
I know if I'm haunting you
You must be haunting me
It's where we go
It's where we'll be
I know if I'm onto you, I'm onto you
Onto you, you must be onto me
My heart it lulls
Ghost in the sheets
I know if I'm haunting you
You must be haunting me
My wicked tongue
Where will it be
I know if I'm onto you
I'm onto you
Onto you, I'm onto you
Onto you, you must be onto me
You want me? I walk down the hallway
You're lucky, the bedroom's my runway
Slap me! I'm pinned to the doorway
Kiss, bite, foreplay
My haunted lungs, ghost in the sheets
I know if I'm haunting you, you must be haunting me
My wicked tongue, where will it be?
I know if I'm onto you, you must be onto me
It's what we see
I know if I'm haunting you, you must be haunting me
It's where we go, it's where we'll be
I know if I'm onto you, I'm onto you
Onto you, I'm onto you
Onto you, you must be onto me
You must be onto me (onto you, I'm onto you)
You must be onto me (onto you, I'm onto you)
You must be onto me (onto you, I'm onto you)
You must be onto me (onto you, I'm onto you)
Me (onto you, I'm onto you)
Me (onto you, I'm onto you)
Me (onto you, I'm onto you)
Me (onto you, I'm onto you)
Me (onto you, I'm onto you)
 "
Have Your Way," 
I changed my life for you and all that you could do 
Is betray me, how could you play me 
You got me doing things I know I shouldn't do 
Am I crazy to live this way see I know I'm wrong, I'm shamed everyday 
We're not as one, but you think it's okay 
My life is not meant to be lived this way, this way 
You promised me one day we would be 
Husband and wife but it seems to me 
You're moving further away from me, from me Lord I'm trying to do what's pleasing in your sight 
But I'm in love, right now I'm caught up 
Instead of leaving, I know that you'll be right by my side 
And you'll make a way, just have your way I spent too much time playin wife on many nights 
Keepin you happy, giving you all of me 
I wake up every morning feeling guilty cause you're lying next to me 
Father forgive me, thought by now we'd be married Four months ago you promised me 
By now I'd have my wedding ring 
You've shown no committment to me, to me 
I cannot blame you for using me 
If I continue to let this be 
Cause shacking with a man just ain't me, ain't me Lord I'm trying to do what's pleasing in your sight 
But I'm in love, right now I'm caught up 
Instead of leaving, I know that you'll be right by my side 
And you'll make a way, just have your way
 "
He Still Loves Me," 
[Walter]
Took me a while
But I'm finally here
I just wanna testify
Make it crystal clear
See I've been picked out
To be picked on
Talked about out my friends mouths
I've been beat down
Til he turned my life around
Turn my life around
Seems like I always fall short
Of bein worthy
Cuz I ain't good enough
But He still loves me
I aint no superstar
The spotlight aint shining on me
Cuz I ain't good enough
But He still loves me
[Beyonce]
I used to wake up somedays
And wish I'd stayed asleep
Cuz I went to bed on top of the world
Today the world's on top of me
Everybody's got opinions
They ain't been in my position
That it breaks my heart
When I hear what they have to say about me
Seems like I always fall short
Of bein worthy
Cuz I ain't good enough
But He still loves me
[All]
I ain't no superstar
I wanna be for you
The spotlight ain't shining on me
Cuz I aint good enough
But He still loves me
I'm not perfect
(I'm not perfect)
Yes I do wrong
(yes I do wrong)
I'm trying my best
(trying my best but)
But it aint good enough
(just aint good enough)
Shunned by the world
If I don't succeed
Cuz I aint good
But he still loves me
(I just aint good enough)
If you ain't worthy just raise your hands
And let me know that you understand
That we are all so blessed
To be loved
Stand for him or fall for anything
Cuz through his eyes we all look the same
What will we do
Without out pain
Seems like I always fall short
Of bein worthy
Cuz I ain't good enough
But He still loves me
I ain't no superstar
(I ain't no superstar but I wanna be for you Lord)
The spotlight ain't shining on me
Cuz I aint good enough
But You still love me
I'm not perfect
Yes I do wrong
I'm trying my best but
(tryin my best)
It aint good enough
(I'm not good enough)
Shunned be the word
(shunned by the world)
If i dont succeed
(i dont succeed-ceed-ceed)
Cuz I aint good enough
But He still loves me
(child sing with me)
I'm not perfect
Yes I do wrong
I'm trying my best but
It aint good enough
(But the Lord's been so good to me)
Shunned be the word
(Shunned by the world)
If i don't succeed
Cuz I ain't good enough
(I ain't good enough)
But He still loves me
(The Lord still loves me)
No I ain't good enough
But He still loves me
(Raise your hands if you understand)
No I ain't good enough
(How He blessed you cuz He blessed you too)
But He still loves me
(even though I aint worthy)
No I aint good enough
(you aint worthy, He is there for you)
But He still loves me
(no matter what I do)
No I ain't good enough
(I ain't good enough)
But He still loves me
The Lord still loves me
 "
He's My Man," 
You say that he's wrong
You say that he's no good
Leave him alone cuz he's gonna hurt you
But what they don't know is how he makes me feel
You say that he creeps
Always runnin' the streets
He's playin the game
And he'll never love me
You say that he's fake but why does it feel so real
No matter what you say I ain't goin no where
No matter what you think I will always be there
The love that we share it lives inside of me
No matter what you hear it's all in the past
No matter what you feelin this love is gone last
The heart of his soul it breeds inside of me
My man, he makes me feel so special
My man, he makes me feel so precious
My man, he makes me feel wonderful
My man, I'm feelin so comfortable
My man, he makes me feel so special
My man, he makes me feel so precious
My man, he makes me feel wonderful
He's thugged out but he's my man
You say you don't trust him
Because he been locked up
You say that he trouble cuz he out in the strip club
But you were young once so you should understand
You say that you know
So you been a witness
You say it's foshow
Say he got a mistress
Until you can show me I'm gone stand by him
No matter what you say I ain't goin no where
No matter what you think I gon always be there
The love that we share it lives inside of me
No matter what you hear it is all in the past
No matter what you feelin this love is gone last
The heart of his soul it breeds inside of me
My man, he makes me feel so special
My man, he makes me feel so precious
My man, he makes me feel wonderful
My man, I'm feelin so comfortable
My man, he makes me feel so special
My man, he makes me feel so precious
My man, he makes me feel wonderful
He's thugged out but he's my man
My man, he makes me feel so special
My man, he makes me feel so precious
My man, he makes me feel wonderful
My man, I'm feelin so comfortable
My man, he makes me feel so special
My man, he makes me feel so precious
My man, he makes me feel wonderful
He's thugged out but he's my man
 "
Heartbeat," 
Guess love just wasn't enough for us to survive
I swear, I swear, I swear I tried
You took the life right out of me
I'm so unlucky I can't breath
You took the life right out of me
I'm longing for your heartbeat
Heartbeat, heartbeat
 "
HEATED," 
Got a lot of bands, got a lot of Hermès on me
Got a lot of bands, got a lot of Ivy on me
I gotta fan myself off, I gotta fan myself off
I gotta cool down, heated (like Coco Chanel, put me up in jail)
I gotta cool it down, heated, yeah, yeah (like stolen Chanel, put me up in jail)
It's been a lot of years, you really think you're getting one past me?
I gotta fan myself off, I gotta fan myself off
I gotta cool it down, heated
You got me heated, heated, oh
Never met a girl with a mind like this, no, no
To give you space at a time like this, my love
Never met a girl so fine like this, no, no, no, no, no
With a waist that whine like this, my love
Only a real one could tame me
Only the radio could play me
Oh, now you wish I was complacent
Boy, you must've mixed up our faces
Oh, now you wanna have conversations
See how you're testing my patience, yeah, yeah, yeah
Got a lot of bands, got a lot of Chanel on me
I gotta fan myself off, I gotta fan myself off
I gotta cool down, heated (like stolen Chanel, put me up in jail)
I gotta cool it down, heated (tip, tip, tipping on)
I got a lot of style, got a lot of Tiffany on me
I gotta fan myself off, I gotta fan myself off
I gotta cool it down, heated (I'm hot, hot, hot)
You got me heated, oh (like stolen Chanel, put me up in jail)
Whole lotta reservations, whole lotta
Whole lotta texting with no conversations
Whole lotta playing victim and the villain at the same time
Whole lotta, yeah, money, not a lot of patience
Whole lotta niggas been waiting, they want some time on it
Now I wanna flaunt it, panty and a bra, we can get evolved, boy (wake up pretty)
You keep playing my heart, boy, I'm just as petty as you are (petty, petty, petty, petty)
Only a real man can tame me
Only the radio can play me
Only my baby
Ooh
Got a lot of bands, got a lot of Chanel on me
I gotta fan myself off, I gotta fan myself off
I gotta cool down, heated (like Coco Chanel, put me up in jail)
I gotta cool it down, heated, heated
Never met a girl with a mind like this, no, no
To give you space at a time like this, my love
Never met a girl so fine like this, no, no, no, no, no
(Fan me off, I'm hot, hot, hot)
With a waist that whine like this (like Coco Chanel, put me up jail)
Tip, tip, tip on hard wood floors
Ten, ten, ten across the board (with a waist that whine like this)
Give me face, face, face, face, face, yah
Your face card never declines, my Gawd (ooh, ooh)
Eat it, eat it, eat it, eat it, eat it
Hmm, yummy, yummy, yum, make the bummy heated
Make a pretty girl talk that shitty
Whisky till I'm tipsy, glitter on my kitty (ooh, ooh)
Cool it down, down, down, my pretty
Bad, bad, bitchy, make a bad bitch, glitchy
Fine, fine, fine, fine, fine, fine
Liberate it, live it like we ain't got time
Yada, yada, ya, yada, yada, ya, ya
Yada, yada, boom, boom, ka, ka
Blastin' on that ass, blast on that ass
Fan me quick, girl, I need my glass
Fan me off, my wrist goes click
Dimples on my hip, stretch marks on my tits
Drink on my water, mindin' my biz
Monday, I'm overrated, Tuesday, on my dick
Flip flop flippin', flip floppin' ass bitch
Fan me off, watch my wrist go click
Fan me off, I'm hot, hot, hot
Like stolen Chanel, lock me up in jail
Cuff me, please, 'cause this ain't fair
Dripped in my pearls like Coco Chanel
Uncle Johnny made my dress
That cheap spandex, she looks a mess
Fan me off, I'm hot, hot, hot
Like stolen Chanel, lock me up in jail
Fingertips go tap, tap, tap
On my MPC makin' disco trap
Uncle Johnny made my dress
That cheap spandex, she looks a mess
 "
Heaven," 
I fought for you
The hardest, it made me the strongest
So tell me your secrets
I just can't stand to see you leaving
But heaven couldn't wait for you
No, heaven couldn't wait for you
Heaven couldn't wait for you
No, heaven couldn't wait for you
So go on, go home
We laughed at the darkness
So scared that we lost it
We stood on the ceilings
You showed me love was all you needed
Heaven couldn't wait for you
Heaven couldn't wait for you
Heaven couldn't wait for you
Heaven couldn't wait for you
No, heaven couldn't wait for you
No, heaven couldn't wait for you
No, heaven couldn't wait for you
No, heaven couldn't wait for you
So go on, go home
So go on go home
 "
Hello (I Am... Yours)," 
Oh
Hello
Oh
Hello
I love to see you walk into the room
Body shining light in up the place
And when you talk everybody stop
Cause they know you know just what you're sayin'
The way that you protect your friends
Baby, I respect you for that
And when you roll you take everyone you love along
I love that shit
Don't fly me away
You don't need to buy a diamond key
To unlock my heart
You shelter my soul
You're my fire when I'm cold
I want you to know
You had me at hello (hello)
Hello (hello)
Hello (hello)
You had me at hello (hello)
Hello (hello)
Hello (hello)
It was many years ago (ago)
Baby, when you (when you)
Stole my cool (stole my cool)
'Cause you had me at hello (hello)
Hello (hello)
Hello oh
I get so excited when you travel with me
Baby, while I'm on my grind
And never will I ever let my hustle
Come between me and my family time and
You keep me humble out of this hype
'Cause you know there's more to life
And if I need ya, you will be here
You will make the sacrifice
Don't fly me away
You don't need to buy a diamond key
To unlock my heart
You shelter my soul
You're my fire when I'm cold
I want you to know
You had me at hello (hello)
Hello (hello)
Hello (hello)
You had me at hello (hello)
Hello (hello)
Hello (hello)
It was many years ago (ago)
Baby, when you (when you)
Stole my cool (stole my cool)
'Cause you had me at hello (hello)
Hello (hello)
Hello ooh
Gotta feel you
And be near you
You're the air that I breathe to survive
Gotta hold you
Want to show you
That without you my Sun doesn't shine
You don't have to try so hard for me to love you
Boy without you my life just ain't the same
You don't have to try so hard for me to love you
You had me at hello (hello)
Hello (hello)
Hello (hello)
You had me at hello (hello)
Hello (hello)
Hello (hello)
It was many years ago (ago)
When you (when you)
Stole my cool (stole my cool)
Babe, you had me at hello (hello)
Hello (hello)
Hello oh
It was many years ago
Baby, when you stole my cool
You had me at hello
Hello
Hello ooh
Hello hello hello
Hello hello hello
Hello hello hello
Hello
Hello
Hello
 "
Hey Ladies," 
Thou shall know when he's got to go
[1]
Hey ladies why is it that men can go do us wrong
Why is it that we just decide to keep holdin' on
Why is it that we never seem to just have the strength
to leave
But he's got to go he's got to go
Hey ladies why is it that men can go do us wrong
Why is it that we just decide to keep holdin' on
Why is it that we never seem to just have the strength
to leave
But he's got to go, he's got to go
My man's been cheatin' on me
Been runnin' round here wit' this little tenderoni
And don't think I haven't noticed
He's been actin' funny
Takin' too long to call me
And somebody told me
That the worst thing of it all is that he gave her
money
Now how he gon' give her my ends
That's a no, no
My first reactions telling me he's got to go, go
But I just ain't for sure
Should I just let him go
Oh I don't know
[2]
Yeah he did me wrong
But I love him so
I keep holding on
But he got to go, he got to go
Thought he was the one
But now I don't know
After what he's done
He's got to go, he's got to go
Repeat 1
You keep rewinding it
Stopin' it and playing yourself over again
See I'm sick and tired of you doin' that same old
thing
Sick of your same routine
Now you've got to come clean
Cause it's killing me
Repeat 2
Repeat 1
I just don't understand
You get chance after chance
And you say that you'll do right
But I really do not know if you can
It's not in your plans
That you've shown
Can you change, don't think so
Now I gotta let you go
Got to go-go-go-go-go
Got to go-go-go-go-go.
 "
"Hey, Goldmember (feat. Devin & Solange)"," 
Solid gold
Solid gold
It's gold
Woo woo
It's gold
Choo choo
It's gold, it's gold
It's gold, it's gold
It's solid gold baby
It's gold, it's gold
It's gold, it's gold
It's solid gold baby
He's got the midas touch
But he touched it too much
Hey goldmember
Hey goldmember
He's got a golden pad, he's super bad
Hey goldmember
Hey goldmember
Goldie, goldie, goldie, gold, gold, gold
Goldie, goldie, goldie, gold, gold, gold
Goldie, goldie, goldie, gold, gold, gold
Goldie, goldie, goldie, gold, gold, gold
He's got the midas touch
But he touched it too much
Hey goldmember (yeah)
Hey goldmember (yeah)
You're gettin down tonight! You're dynamite!
Hey goldmember (goldmember)
Hey goldmember
Cuz that's the way, uh huh (uh huh) he likes it, uh huh (uh huh)
Goldmember (goldmember)
He loves it, He loves it!
He's got the midas touch
But he touched it too much
Hey goldmember
Hey goldmember
He's from the netherlands
That's where he learned to dance
Hey goldmember
Hey goldmember
It's gold, it's gold
It's gold, it's gold
It's solid gold baby
It's gold, it's gold
It's gold, it's gold
It's solid gold baby
It's gold, it's gold
It's gold, it's gold
It's solid gold baby
It's gold, it's gold
It's gold, it's gold
It's solid gold baby
 "
Hill And Caela Talk," 
Mekhi:
Yo, we grew up together, we cut school together
When we have kids, go through terrible two's together
Reagan:
And when they turn three we'll be watchin' the news together
Cop found slain that kind of pain last forever
Mekhi:
So what you me to be, huh?
Reagan:
A man of your family
Mekhi:
What?  soccer dad, saturdays, load up the camry?
Reagan:
If i ever lost you the next would be my sanity
A house without you is not a home
It's more like amityville
Mekhi:
Come on, caela, you need to play fair, like vanity
You're the only woman that i speak with so candidly
You're the only woman i've been with, how can it be?
Theres other fish inside the sea, but none can swim beside you, see
But becomin' a cop is like becomin a man to me
Reagan:
And if you get shot then you'll become a body bag, you see
I love more than slaves love the thought of bein' free
Mekhi:
What, you and me?
Reagan:
Simpson
Mekhi:
Ashford
Both:
Eternally
Reagan:
What about a desk job
You still protect and servin' me
'cause i don't wanna get that call from the infirmary
Thoughts of your surgery constantly disturbin' me
Mekhi:
But possibly a captian, your pessimism's concernin' me
You know i love you i don't have to say it verbally
Wouldn't leave you in berlin in post-war germany
Reagn:
Somethin' just occured to me
Mekhi:
Listen, only emergencyis me and you inside the bedroom
With some urgency
 "
